Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
AtlasIntel,A+@@1,-0.95774031,D+0.16@@0.16334188,91,D+
Marquette University Law School,A/B@@4,-0.92026073,D+0.32@@0.31545374,17,D+
The Washington Post,A+@@1,-0.90228087,D+0.90@@0.89811021,98,D+
Research & Polling Inc.,A@@2,-0.87113601,R+0.55@@-0.54944503,44,R+
The New York Times/Siena College,A@@2,-0.76394707,D+1.41@@1.4121077,116,D+
Cygnal,A@@2,-0.74733943,D+2.04@@2.0375624,58,D+
SurveyUSA,A@@2,-0.73243296,D+0.09@@0.085738368,871,D+
Siena College,A@@2,-0.6496222,D+0.12@@0.11891342,67,D+
Beacon Research/Shaw & Co. Research,A@@2,-0.635562,D+1.46@@1.4624962,62,D+
Alaska Survey Research,A/B@@4,-0.60251147,D+1.77@@1.7697144,16,D+
OnMessage Inc.,A@@2,-0.60024923,R+1.23@@-1.2251532,32,R+
TIPP Insights,A-@@3,-0.57137179,R+0.07@@-0.070992939,51,R+
Emerson College,A-@@3,-0.56915331,D+0.65@@0.64701432,317,D+
Landmark Communications,A-@@3,-0.55608732,D+0.83@@0.82627106,41,D+
Monmouth University,A-@@3,-0.52453607,D+2.00@@2.001312,131,D+
Data Orbital,A/B@@4,-0.49868253,D+0.08@@0.079388551,18,D+
University of North Florida,A/B@@4,-0.48866385,D+1.58@@1.5804788,14,D+
MassINC Polling Group,A/B@@4,-0.48559555,R+0.55@@-0.54868829,22,R+
Marist College,A-@@3,-0.43661025,D+0.52@@0.52121603,213,D+
Public Policy Institute of California,A/B@@4,-0.42050046,R+1.00@@-0.99512279,18,R+
Public Policy Polling,A-@@3,-0.39375457,D+0.88@@0.87802505,468,D+
University of California Berkeley,A/B@@4,-0.38818568,D+0.32@@0.32201099,8,D+
CBS News/The New York Times,A-@@3,-0.38629016,D+0.27@@0.26831293,66,D+
Christopher Newport University,A/B@@4,-0.35707083,D+1.00@@1.0033963,15,D+
Mason-Dixon Polling & Strategy,A-@@3,-0.31496885,R+0.50@@-0.50374806,446,R+
Strategic Vision LLC,F@@16,-0.31180862,R+1.41@@-1.4142799,133,R+
Suffolk University,A-@@3,-0.30682465,D+0.89@@0.89197379,110,D+
Stockton University,A/B@@4,-0.3032642,D+0.84@@0.84282684,12,D+
Field Research Corp. (Field Poll),A/B@@4,-0.29299855,R+0.55@@-0.54905003,25,R+
Quinnipiac University,B+@@5,-0.29048395,D+0.62@@0.61745471,228,D+
Los Angeles Times,A/B@@4,-0.26984552,R+0.14@@-0.13585153,37,R+
Hart Research Associates/Public Opinion Strategies,B+@@5,-0.2509338,D+0.85@@0.85034752,37,D+
Public Opinion Strategies,B+@@5,-0.24697377,R+1.28@@-1.2787108,80,R+
Susquehanna Polling & Research Inc.,B+@@5,-0.23362918,D+0.43@@0.4329254,56,D+
Grove Insight,A/B@@4,-0.22916877,D+0.47@@0.46524185,29,D+
OH Predictive Insights,B+@@5,-0.22588472,D+0.55@@0.55064571,22,D+
Echelon Insights,B+@@5,-0.21667188,R+0.11@@-0.10818018,18,R+
University of Massachusetts Lowell,B+@@5,-0.21641162,D+1.29@@1.2852683,38,D+
Trafalgar Group,B+@@5,-0.21543878,R+1.83@@-1.8317183,142,R+
Saint Anselm College,A/B@@4,-0.2153883,R+0.28@@-0.27550858,14,R+
co/efficient,B+@@5,-0.2090032,R+2.23@@-2.2305386,22,R+
Greenberg Quinlan Rosner/American Viewpoint,A/B@@4,-0.20856024,R+0.52@@-0.51904154,8,R+
RKM Research and Communications Inc.,A/B@@4,-0.20800491,R+0.11@@-0.10507365,35,R+
National Research,A/B@@4,-0.18605295,R+0.35@@-0.34715009,15,R+
Tarrance Group,A/B@@4,-0.18046698,R+0.87@@-0.87200117,32,R+
Dittman Research,A/B@@4,-0.1712485,D+0.81@@0.81492639,10,D+
RRH Elections,A/B@@4,-0.14706281,R+0.26@@-0.25888827,15,R+
Selzer,B+@@5,-0.14680314,D+1.27@@1.2678819,59,D+
Fairleigh Dickinson University,A/B@@4,-0.13989075,D+0.02@@0.018004164,22,D+
The Winston Group,A/B@@4,-0.13629293,D+1.03@@1.0321692,11,D+
Opinion Dynamics,A/B@@4,-0.12760398,R+0.25@@-0.24883375,34,R+
University of Connecticut,A/B@@4,-0.12506536,R+0.13@@-0.12579478,11,R+
Elway Research,A/B@@4,-0.12212537,D+0.63@@0.63228816,21,D+
Angus Reid Global,A/B@@4,-0.10719027,R+0.98@@-0.97743785,32,R+
Muhlenberg College,B+@@5,-0.098998487,R+0.11@@-0.10928108,36,R+
Gallup,B+@@5,-0.096810378,R+0.57@@-0.56518364,84,R+
"Fabrizio, Lee & Associates",A/B@@4,-0.075826116,R+0.30@@-0.30031374,11,R+
Elon University,A/B@@4,-0.07485155,D+0.36@@0.36261222,8,D+
Pharos Research Group,F@@16,-0.064963147,D+0.68@@0.67828184,33,D+
Florida Atlantic University,A/B@@4,-0.051245894,D+0.51@@0.51201946,9,D+
Garin-Hart-Yang Research Group,B+@@5,-0.037617017,D+1.73@@1.733374,33,D+
Abt Associates,A/B@@4,-0.031319756,D+0.67@@0.67124325,13,D+
National Journal,A/B@@4,-0.030784091,R+0.11@@-0.11009764,12,R+
Temple University,A/B@@4,-0.003679667,R+0.17@@-0.16539954,6,R+
Princeton Survey Research Associates International,B/C@@8,0.001223116,D+0.38@@0.38408485,35,D+
Landmark Communications/Rosetta Stone Communications,B/C@@8,0.009076268,D+1.05@@1.0475124,11,D+
Michigan State University,B/C@@8,0.01260299,R+0.04@@-0.035545263,2,R+
Vox Populi Polling,B/C@@8,0.015000123,D+0.33@@0.33029878,19,D+
KAConsulting,B/C@@8,0.023608975,R+1.33@@-1.3332769,11,R+
KRC Research,B/C@@8,0.027939018,D+0.07@@0.065072455,22,D+
Western New England University,B/C@@8,0.029009955,R+0.32@@-0.31661579,11,R+
InsiderAdvantage,B@@6,0.034562007,D+0.36@@0.35748985,207,D+
Lake Research Partners,B/C@@8,0.035426345,D+0.65@@0.65252459,12,D+
Lake Research Partners/The Tarrance Group,B/C@@8,0.035730541,R+0.60@@-0.59511161,33,R+
East Carolina University,B/C@@8,0.036182139,D+1.32@@1.3153348,18,D+
North Star Opinion Research,B/C@@8,0.043338995,R+0.63@@-0.62697512,13,R+
YouGov,B@@6,0.047635015,D+1.09@@1.0927403,519,D+
Fleming & Associates,B/C@@8,0.057224426,R+0.48@@-0.48452234,18,R+
University of Cincinnati (Ohio Poll),B/C@@8,0.063219778,R+1.09@@-1.0886288,39,R+
University of Arkansas,B/C@@8,0.066611983,D+0.90@@0.89724588,10,D+
GfK Group,B/C@@8,0.067003816,D+0.19@@0.1863585,21,D+
Rasmussen Reports,B@@6,0.087015256,R+1.35@@-1.3521063,797,R+
New England College Polling Center,B/C@@8,0.088809386,R+1.03@@-1.0287056,19,R+
Greenberg Quinlan Rosner,B@@6,0.094913356,D+2.16@@2.1647565,61,D+
WPA Intelligence,B/C@@8,0.10110807,R+0.80@@-0.80394012,20,R+
SEA Polling & Strategic Design,B/C@@8,0.10193679,D+0.45@@0.45099813,14,D+
Public Religion Research Institute,B/C@@8,0.10386439,D+0.01@@0.0090211583,1,D+
Optimus Analytics,B/C@@8,0.10429307,R+0.48@@-0.47570956,17,R+
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),B/C@@8,0.10689279,±0.00@@0,2,±
Glengariff Group,B/C@@8,0.107839,D+0.84@@0.83929819,16,D+
RAND (American Life Panel),B/C@@8,0.11490975,D+0.13@@0.13339096,4,D+
Magellan Strategies,B/C@@8,0.11763164,R+0.38@@-0.38347572,18,R+
Concord Public Opinion Partners,B/C@@8,0.12049434,D+0.26@@0.26153839,3,D+
EPIC-MRA,B@@6,0.12134443,D+0.22@@0.21965608,58,D+
Pew Research Center,B/C@@8,0.13222975,D+0.63@@0.63138616,25,D+
Indiana University,B/C@@8,0.13454427,D+0.02@@0.020599827,2,D+
Wirthlin Worldwide,B/C@@8,0.13615346,R+0.13@@-0.13358647,4,R+
Clemson University,B/C@@8,0.13810207,D+0.02@@0.023159709,8,D+
St. Pete Polls,B@@6,0.13815364,D+0.51@@0.51104629,30,D+
Knowledge Networks,B/C@@8,0.14174432,D+0.25@@0.24681772,4,D+
Harper Polling,B/C@@8,0.1506532,D+0.39@@0.3923997,14,D+
Belden Russonello,B/C@@8,0.15370789,D+0.04@@0.041330267,3,D+
Louis Harris & Associates,B/C@@8,0.15499793,D+0.01@@0.014241654,2,D+
Wick,B/C@@8,0.15507598,R+1.19@@-1.1946162,16,R+
Civiqs,B@@6,0.15856202,D+2.83@@2.8278632,43,D+
Gravis Marketing/Kaplan Strategies,B@@6,0.16096497,D+1.34@@1.3409915,157,D+
Harris Insights & Analytics,B@@6,0.16244708,R+1.05@@-1.0490152,193,R+
Blum & Weprin Associates,B/C@@8,0.16361174,R+0.55@@-0.54608208,19,R+
Pasquines,B/C@@8,0.1717357,D+0.06@@0.058760904,4,D+
University of Florida,B/C@@8,0.17285904,D+0.03@@0.028016748,1,D+
Gordon S. Black Corp.,B/C@@8,0.17956385,R+0.11@@-0.105322,2,R+
University of Georgia,B/C@@8,0.18795347,D+0.05@@0.05039965,7,D+
Ohio State University,B/C@@8,0.19234021,R+0.04@@-0.035381567,1,R+
J.L. Partners,B/C@@8,0.19791092,D+0.39@@0.39106345,10,D+
Harstad Strategic Research,B/C@@8,0.20705724,D+0.49@@0.490022,11,D+
RT Strategies,B/C@@8,0.2116138,D+0.84@@0.83579361,45,D+
Polling Company/Global Strategy Group,B/C@@8,0.21743935,R+0.16@@-0.16115987,4,R+
GQR Research/Public Opinion Strategies,B/C@@8,0.22798957,D+0.10@@0.099946581,1,D+
Clarity Campaign Labs,B/C@@8,0.22870669,D+1.34@@1.3394767,15,D+
Harvard University,B/C@@8,0.23098619,D+0.08@@0.07612858,1,D+
Spry Strategies,B/C@@8,0.23909016,R+0.35@@-0.35234886,5,R+
Victory Research,B/C@@8,0.25055617,D+0.26@@0.25682259,11,D+
Data for Progress,B@@6,0.25444824,D+1.59@@1.5928682,114,D+
RMG Research,B@@6,0.27802283,D+3.25@@3.2477651,28,D+
Praecones Analytica,B/C@@8,0.28004682,R+0.11@@-0.10825513,5,R+
Starboard Communications,B/C@@8,0.28420591,D+0.29@@0.28987542,4,D+
Franklin & Marshall College,B/C@@8,0.28808209,D+0.56@@0.56057823,25,D+
Ward Research,B/C@@8,0.29155061,R+0.33@@-0.32782516,15,R+
Mellman Group,B/C@@8,0.29166272,D+1.69@@1.6941407,28,D+
Ciruli Associates,B/C@@8,0.29351866,R+0.53@@-0.53030527,20,R+
Strategic National,B/C@@8,0.3083744,D+0.34@@0.34290841,4,D+
Patriot Polling,B-@@7,0.31572524,R+0.40@@-0.40193927,22,R+
Dan Jones & Associates,B/C@@8,0.3158612,D+0.76@@0.75607163,40,D+
Middle Tennessee State University,B/C@@8,0.32235947,D+0.43@@0.4257282,5,D+
Remington Research Group,B-@@7,0.32252276,D+1.28@@1.2821453,55,D+
Leger,B/C@@8,0.3232837,D+0.25@@0.25427637,13,D+
Keating Research,B/C@@8,0.32352126,D+0.17@@0.16907369,6,D+
Ragnar Research Partners,B/C@@8,0.32583788,D+0.24@@0.24461091,3,D+
Blueprint Polling,B/C@@8,0.32879567,R+0.52@@-0.52181453,8,R+
Yankelovich Partners Inc.,B/C@@8,0.3332423,R+0.03@@-0.028500587,7,R+
St. Norbert College,B/C@@8,0.34129319,R+0.01@@-0.0085508777,12,R+
Pan Atlantic Research,B/C@@8,0.34941143,D+0.61@@0.61087656,17,D+
Strategies 360,B/C@@8,0.35213205,D+1.15@@1.1511543,9,D+
Redfield & Wilton Strategies,B-@@7,0.35624868,D+2.28@@2.2802136,45,D+
Market Shares Corp.,B/C@@8,0.35953608,R+0.90@@-0.89691323,25,R+
Columbus Dispatch,B/C@@8,0.36458993,D+0.80@@0.79838532,22,D+
CVOTER,B/C@@8,0.36808851,R+0.19@@-0.18856646,6,R+
DCCC,B/C@@8,0.3697817,D+1.60@@1.5969902,10,D+
ROI Rocket,B/C@@8,0.36986625,±0.00@@0,3,±
Cardinal Point Analytics (CardinalGPS),B/C@@8,0.36986625,R+0.28@@-0.27565822,3,R+
Lucid,B/C@@8,0.37525311,D+1.67@@1.6663859,25,D+
Lee Business School (University of Nevada Las Vegas),B/C@@8,0.38376948,D+0.14@@0.14141937,5,D+
Edgewater Research/My People Vote,B/C@@8,0.38452038,R+0.05@@-0.045173246,3,R+
GBAO,B/C@@8,0.38478789,D+1.36@@1.3601162,14,D+
Research 2000,F@@16,0.39020544,D+1.19@@1.1918705,278,D+
University of South Alabama,B/C@@8,0.39331138,R+0.33@@-0.32966346,9,R+
OpinionWorks,B/C@@8,0.40552148,R+0.48@@-0.48164907,7,R+
Axis Research,B/C@@8,0.40633726,R+0.09@@-0.094999999,2,R+
"Fabrizio, Lee & Associates/GBAO",B/C@@8,0.40633726,R+0.11@@-0.11,2,R+
High Point University,B/C@@8,0.41167998,±0.00@@0.0026956678,5,±
David Binder Research,B/C@@8,0.41291341,D+0.07@@0.073416464,3,D+
Big Village,B-@@7,0.41938442,D+0.22@@0.21942563,107,D+
Impact Research,B/C@@8,0.42216259,D+1.32@@1.320596,22,D+
We Ask America,B-@@7,0.42594782,R+0.78@@-0.78191364,56,R+
Market Research Institute Inc.,B/C@@8,0.42765889,D+0.08@@0.076907493,11,D+
University of New Hampshire,B-@@7,0.42921752,D+2.05@@2.0454695,150,D+
RBI Strategies & Research,B/C@@8,0.4332259,D+0.28@@0.27990454,4,D+
Ogden & Fry,B/C@@8,0.43730089,R+0.01@@-0.010009671,3,R+
Louisville Courier-Journal,B/C@@8,0.4402205,R+0.17@@-0.17246857,10,R+
DFM Research,B/C@@8,0.44070658,D+1.22@@1.2201219,10,D+
Ipsos,B-@@7,0.44289753,D+1.89@@1.8925899,116,D+
Frederick Polls,B/C@@8,0.44521824,D+0.55@@0.55041814,8,D+
Kiley & Company,B/C@@8,0.44649369,D+0.31@@0.30930197,5,D+
BSP Research/Shaw & Company Research,B/C@@8,0.4477509,R+0.07@@-0.067947723,2,R+
Focaldata,B/C@@8,0.44931233,D+1.30@@1.3037037,9,D+
Riley Research Associates,B/C@@8,0.45399162,R+0.06@@-0.055728588,7,R+
Schoen Cooperman Research,B/C@@8,0.45850107,R+0.02@@-0.018584503,2,R+
BK Strategies,B/C@@8,0.47065434,D+0.31@@0.31250998,3,D+
Iowa State University,B/C@@8,0.47379079,±0.00@@0,3,±
Benenson Strategy Group,B/C@@8,0.47511083,D+1.04@@1.0424229,12,D+
McKeon & Associates,B/C@@8,0.47831401,D+0.15@@0.14734517,3,D+
Alabama State University,B/C@@8,0.48485279,±0.00@@0,4,±
Maine People's Resource Center,B/C@@8,0.48540986,D+0.10@@0.10337142,14,D+
El Nuevo Día/The Research Office,B/C@@8,0.48743039,±0.00@@0,4,±
University of Washington,B/C@@8,0.49239239,D+0.04@@0.042270124,9,D+
Latino Decisions,B/C@@8,0.49536011,D+0.17@@0.1743641,2,D+
University of New Orleans,B/C@@8,0.49975908,D+0.27@@0.26765954,13,D+
Meeting Street Insights,B/C@@8,0.51363623,D+0.55@@0.54576772,5,D+
Orion Strategies,B/C@@8,0.51488698,D+0.08@@0.080776334,4,D+
Big Data Poll,F@@16,0.51707917,R+0.34@@-0.3428264,6,R+
Richard Day Research,B/C@@8,0.52001756,R+0.35@@-0.34707376,11,R+
GS Strategy Group,B/C@@8,0.5225752,R+0.33@@-0.33487499,2,R+
Tulchin Research,B/C@@8,0.52309716,R+0.06@@-0.064198315,3,R+
IVR Polls,B/C@@8,0.52374274,±0.00@@0,4,±
Google Consumer Surveys,B/C@@8,0.53264415,R+0.08@@-0.075598456,24,R+
John Zogby Strategies,B/C@@8,0.53317785,D+0.39@@0.38675937,4,D+
Potomac Incorporated,B/C@@8,0.53430188,R+0.23@@-0.22923395,8,R+
Keating Research/OnSight Public Affairs/Melanson,B/C@@8,0.53437245,R+0.09@@-0.08687713,3,R+
MWR Strategies,B/C@@8,0.53536141,R+0.03@@-0.026155947,2,R+
University of Massachusetts (Amherst),B/C@@8,0.53619975,R+0.12@@-0.11678057,11,R+
MSR Group,B/C@@8,0.53826493,D+0.08@@0.08024434,6,D+
OnPoint,B/C@@8,0.53914672,D+0.02@@0.019458227,6,D+
Change Research,B-@@7,0.5404774,D+2.68@@2.681457,115,D+
JMC Analytics,B/C@@8,0.54252803,R+0.65@@-0.64922231,13,R+
Master Image,B/C@@8,0.54565519,±0.00@@0,2,±
Douglas Fulmer & Associates,B/C@@8,0.54565519,±0.00@@0,2,±
Basswood Research,B/C@@8,0.55066609,R+0.16@@-0.15870373,4,R+
Winthrop University,B/C@@8,0.55168486,±0.00@@0.0030961689,3,±
Northern Arizona University,B/C@@8,0.55756241,R+0.18@@-0.18271221,4,R+
Castleton University,B/C@@8,0.55867463,±0.00@@0,3,±
Zogby Analytics,B-@@7,0.55934763,R+0.58@@-0.58420163,494,R+
Tufts University,B/C@@8,0.56082988,D+0.37@@0.37294376,3,D+
Torchlight Strategies,B/C@@8,0.56549478,±0.00@@0,1,±
Gotham Polling & Analytics,B/C@@8,0.56549478,R+0.17@@-0.16842106,1,R+
M3 Strategies,B/C@@8,0.56549478,R+0.16@@-0.1631579,1,R+
CJ&N,B/C@@8,0.56664294,D+0.07@@0.070285752,3,D+
Missouri State University,B/C@@8,0.56817704,D+0.23@@0.23407689,3,D+
Financial Dynamics,B/C@@8,0.56906527,R+0.34@@-0.3382268,15,R+
Marshall Marketing,B/C@@8,0.57059705,R+0.16@@-0.16161637,4,R+
APC Research,B/C@@8,0.57087082,D+0.13@@0.12910981,2,D+
Dixie Strategies,B/C@@8,0.57638276,R+0.90@@-0.89731926,11,R+
The Tyson Group,B/C@@8,0.57826144,D+0.09@@0.085312791,14,D+
American Viewpoint,B/C@@8,0.57913053,R+0.54@@-0.53593379,9,R+
Overtime Politics,F@@16,0.58318144,±0.00@@0,12,±
Morning Consult,B-@@7,0.58499432,D+3.37@@3.3696144,114,D+
Slingshot Strategies,B/C@@8,0.58688694,D+0.35@@0.35101333,2,D+
CWS Research,B/C@@8,0.58829069,±0.00@@-0.004584705,1,±
Fabrizio Lee & Associates/Impact Research,B/C@@8,0.58829069,D+0.03@@0.031175993,1,D+
Washington College,B/C@@8,0.58829069,D+0.23@@0.23015219,1,D+
MFour Mobile Research,B/C@@8,0.59300625,R+0.13@@-0.12577538,2,R+
Wiese Research Associates,B/C@@8,0.59367681,D+0.74@@0.74292374,7,D+
Merrill Poll,B/C@@8,0.59581488,±0.00@@0,2,±
Braun Research,B/C@@8,0.59748131,D+0.91@@0.90929836,6,D+
University of Southern California,B/C@@8,0.5977819,D+1.27@@1.2670884,13,D+
Rethink Priorities,F@@16,0.60687542,D+0.29@@0.29160672,2,D+
Park Street Strategies,B/C@@8,0.6082719,±0.00@@0,1,±
Data Targeting,B/C@@8,0.6082719,R+0.16@@-0.159601,1,R+
Southern Media & Opinion Research,B/C@@8,0.60959715,D+0.07@@0.072838873,7,D+
University of Texas at Tyler,B/C@@8,0.61376274,D+0.77@@0.7693007,10,D+
NewsNation,B/C@@8,0.61445946,D+0.07@@0.066478223,1,D+
Minneapolis Star Tribune,B/C@@8,0.61698484,D+0.62@@0.61612129,14,D+
The Citadel,B/C@@8,0.61961085,D+0.30@@0.30000001,3,D+
Blumenthal Research Daily,F@@16,0.62239313,R+0.12@@-0.12038442,2,R+
Cherry Communications,B/C@@8,0.62285888,D+0.36@@0.35639152,8,D+
PSB Research,B/C@@8,0.62391043,D+1.89@@1.8895055,19,D+
Mason Strategies,B/C@@8,0.62575555,D+0.07@@0.065576881,1,D+
1892 Polling,B/C@@8,0.62575555,R+0.02@@-0.020818057,1,R+
DHM Research,B/C@@8,0.6277163,R+0.07@@-0.072788641,14,R+
Ethridge & Associates LLC,B/C@@8,0.6282419,R+0.04@@-0.042465791,6,R+
Baruch College Survey Research,B/C@@8,0.63056821,±0.00@@0,2,±
Montgomery Research,B/C@@8,0.63120258,R+0.24@@-0.24210526,1,R+
Research Co.,C+@@9,0.63225824,D+1.56@@1.5595731,83,D+
Voter/Consumer Research,B/C@@8,0.63227332,R+0.07@@-0.072926663,8,R+
Bendixen & Amandi International,B/C@@8,0.63254529,D+0.09@@0.087511651,2,D+
The Polling Company Inc./National Research Inc.,B/C@@8,0.63365221,R+0.09@@-0.086041823,1,R+
Valley Research,B/C@@8,0.63376343,D+0.32@@0.31922555,8,D+
Personal Marketing Research,B/C@@8,0.63454431,±0.00@@0,3,±
Franklin Pierce University,B/C@@8,0.63591892,D+0.58@@0.58282268,17,D+
Behavior Research Center (Rocky Mountain Poll),B/C@@8,0.63652951,D+0.34@@0.33539307,7,D+
Market Solutions Group,B/C@@8,0.63754094,±0.00@@-0.0026500425,4,±
Market Decisions Research,B/C@@8,0.63784498,R+0.05@@-0.05271722,4,R+
Scripps Howard,B/C@@8,0.63804841,R+0.11@@-0.10643728,5,R+
Forward Strategies,B/C@@8,0.63860583,D+0.05@@0.050466262,2,D+
Targeted Persuasion,B/C@@8,0.64103073,±0.00@@0,1,±
